state,duracion_total_sesiones,duracion_sesiones,salarios,gastos
Alabama,116.5500031,104.5500031,1.470589233,534.7172241
Alaska,128.5100021,127.8000031,74.80586328,1493.441223
Arizona,286.1299896,197.3799973,48.39366602,630.7392578
Arkansas,80.22999954,80.22999954,30.66902539,516.3905945
California,390,270,213.4051328,5521.194824
Colorado,205.1999969,205.1999969,60.49208203,439.9576874
Connecticut,160.9100037,144.2600021,56.45927734,576.6280212
Delaware,93.70999908,93,85.13121875,276.3776703
Florida,101.529995,90.16999817,60.53059375,2086.795532
Georgia,80,80,34.96845703,241.3129272
Hawaii,127,122,98.21494531,716.6620483
Idaho,145.5499992,145.5499992,32.49634668,217.0321426
Illinois,169,163,136.7846953,723.7988586
Indiana,142.7099991,128.5100021,45.60389258,502.440033
Iowa,129.9299965,129.9299965,50.41006836,370.7248535
Kansas,151.4799995,151.4799995,15.77321582,241.3955994
Kentucky,127.7700005,116.7999992,30.77764941,624.0465698
Louisiana,110.6399994,93.59999847,44.90233398,737.5548096
Maine,95,95,23.40886328,216.9324875
Maryland,127.8000031,127.8000031,87.71351953,693.5266418
Massachusetts,278,278,117.4295469,477.2201843
Michigan,213,213,160.6064766,1141.694397
Minnesota,109,107,62.79259766,492.8305969
Mississippi,154.359993,151.2299957,19.69400586,225.8910904
Missouri,147,147,72.41910547,295.3153534
Montana,90,90,7.559597168,223.1041565
Nebraska,159,147,24.19683301,696.7479858
Nevada,89.45999718,85.19999695,8.904821289,1285.552643
New Hampshire,148.6699982,147.6699982,0.201640274,70.42774582
New Jersey,89,88,96.50062891,1180.364258
New Mexico,71.70999908,63.89999771,0,417.4726715
New York,458.1499939,427.1499939,160.3040156,2026.613831
North Carolina,181.7600021,181.7600021,28.13083496,551.8097534
North Dakota,79,79,15.17590918,151.0017471
Ohio,258,258,122.1617461,540.225769
Oklahoma,135,135,77.42986719,404.1005859
Oregon,120.6999969,120.6999969,43.57849609,773.7674866
Pennsylvania,242,211,157.9138906,2433.338867
Rhode Island,123,123,26.39269531,456.8488159
South Carolina,169.5299988,169.5299988,20.97058887,651.207428
South Dakota,79,79,12.0984165,94.69371796
Tennessee,101,93,38.32980078,545.9623718
Texas,100.8199997,99.40000153,14.51809961,1551.813599
Utah,64.61000061,63.90000153,11.14369043,225.5221634
Vermont,97.41999817,96,12.15051855,99.73706055
Virginia,90.68000031,76.68000031,35.44921094,563.6325684
Washington,138.4500008,117.1500015,84.90265625,990.5722961
West Virginia,100.1099968,90.16999817,40.32805469,370.2005005
Wisconsin,,,100.7052031,831.1733093
Wyoming,40,40,6.049208252,147.1351242